artist_candidate_id	candidate_artist_type	confidence	evidence_text	master_artist_id	promotion_status	raw_artist_text	release_candidate_id	release_title	review_status	source_id	source_name	source_reference	source_url
SRC0002-B0003-ART001	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'LP - Cumbia y Nada Más': Afrosound	GRP0257	MATCH_EXISTING	Afrosound	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/
SRC0002-B0003-ART002	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'LP - Cumbia y Nada Más': Fruko		REVIEW_REQUIRED	Fruko	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/
SRC0002-B0003-ART003	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'LP - Cumbia y Nada Más': Chill Mafia y Ben Yart		REVIEW_REQUIRED	Chill Mafia y Ben Yart	SRC0002-B0003-REL001	LP - Cumbia y Nada Más	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/	https://tiendadiscosfuentes.com/productos/vinilos/lp-cumbia-y-nada-mas/
SRC0002-B0003-ART004	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'LP - Historia Musical': Los 50 de Joselito	GRP0256	MATCH_EXISTING	Los 50 de Joselito	SRC0002-B0003-REL002	LP - Historia Musical	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/	https://tiendadiscosfuentes.com/productos/vinilos/lp-historia-musical-los-50-de-joselito/
SRC0002-B0003-ART005	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de La Sonora Matancera': La Sonora Matancera		NEW	La Sonora Matancera	SRC0002-B0003-REL003	Colección 100 Exitos de La Sonora Matancera	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-la-sonora-matancera/
SRC0002-B0003-ART006	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos del Siglo: Joe Arroyo': Joe Arroyo		REVIEW_REQUIRED	Joe Arroyo	SRC0002-B0003-REL004	Colección 100 Exitos del Siglo: Joe Arroyo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-del-siglo-joe-arroyo/
SRC0002-B0003-ART007	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Los Corraleros de Majagual': Los Corraleros de Majagual	GRP0088	MATCH_EXISTING	Los Corraleros de Majagual	SRC0002-B0003-REL005	Colección 100 Exitos de Los Corraleros de Majagual	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/
SRC0002-B0003-ART008	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos – Cuatro Grandes de la Música Tropical': Calixto Ochoa y Su Conjunto		NEW	Calixto Ochoa y Su Conjunto	SRC0002-B0003-REL006	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/
SRC0002-B0003-ART009	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos – Cuatro Grandes de la Música Tropical': Lisandro Meza y Su Conjunto		NEW	Lisandro Meza y Su Conjunto	SRC0002-B0003-REL006	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/
SRC0002-B0003-ART010	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos – Cuatro Grandes de la Música Tropical': Armando Hernández con el Combo Caribe		NEW	Armando Hernández con el Combo Caribe	SRC0002-B0003-REL006	Colección 100 Exitos – Cuatro Grandes de la Música Tropical	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-cuatro-grandes-de-la-musica-tropical/
