normalized_title	count	classification	song_ids	titles	source_ids	review_statuses
el jardinero	3	likely_number_prefix_duplicate	SONG001251|SONG004574|SONG004771	El Jardinero|10. El Jardinero|El Jardinero	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
la bruja	3	likely_number_prefix_duplicate	SONG001837|SONG004564|SONG004761	La Bruja|20. La Bruja|La Bruja	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
la suegra	3	likely_number_prefix_duplicate	SONG002077|SONG004531|SONG004726	La Suegra|5. La Suegra|La Suegra	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
ni cuerpo ni corazon	3	likely_number_prefix_duplicate	SONG002686|SONG004520|SONG004715	Ni Cuerpo Ni Corazon|14. Ni Cuerpo Ni Corazon|Ni Cuerpo Ni Corazon	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
plegaria	3	likely_number_prefix_duplicate	SONG003054|SONG004489|SONG004683	Plegaria|2. Plegaria|Plegaria	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
tengo celos	3	likely_number_prefix_duplicate	SONG003723|SONG004571|SONG004768	Tengo Celos|7. Tengo Celos|Tengo Celos	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
tu solo tu	3	needs_song_merge_review	SONG003864|SONG003876|SONG003878	Tu, Solo Tu|Tú Sólo Tú|Tú, Sólo Tú	SRC0001|SRC0001|SRC0001	approved_title_candidate|approved_title_candidate|approved_title_candidate
veinte anos	3	likely_number_prefix_duplicate	SONG003969|SONG004582|SONG004779	Veinte Años|18. Veinte Años|Veinte Años	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
yo no fui	3	likely_number_prefix_duplicate	SONG004125|SONG004529|SONG004724	Yo No Fui|3. Yo No Fui|Yo No Fui	SRC0001|SRC0002|SRC0002	approved_title_candidate|approved|approved
la cerveza	3	likely_number_prefix_duplicate	SONG004281|SONG004488|SONG004682	La Cerveza|1. La Cerveza|La Cerveza	SRC0002|SRC0002|SRC0002	approved|approved|approved
feliz nochebuena	3	likely_number_prefix_duplicate	SONG004309|SONG004511|SONG004706	Feliz Nochebuena|5. Feliz Nochebuena|Feliz Nochebuena	SRC0002|SRC0002|SRC0002	approved|approved|approved
