candidate_name	proposed_type	classification_reason
Martin Y Malena	review_required	multiple_person_names
Martin Y Eloisa	review_required	multiple_person_names
Lola Beltran Y Trio Hnos. Michel	probable_group	ensemble_keyword
Erendira Y Rene	review_required	multiple_person_names
Pepe Y Lulu	review_required	multiple_person_names
Orquesta De Juan Garcia Medeles	probable_group	ensemble_keyword
Dueto Aguila Y Sol	review_required	multiple_person_names
Orquesta Cha, Cha, Cha Continental	probable_group	ensemble_keyword
Carlos Y Gela	review_required	multiple_person_names
Mariachi Blanco Y Negro	probable_group	ensemble_keyword
Orquesta De Juan S. Garrido	probable_group	ensemble_keyword
Angelina Y Tono	review_required	multiple_person_names
Laurita y Ray	review_required	multiple_person_names
Victor Cordero Y Martita	review_required	multiple_person_names
Orquesta De Ramon Marquez	probable_group	ensemble_keyword
Orquesta Cubana De Domingo Vernier	probable_group	ensemble_keyword
Hermanos Zaizar - Prieta Linda	probable_performer	single_name_pattern
Cuarteto Armonico	probable_group	ensemble_keyword
Alarcon Leal Y La Tamaulipeca	review_required	multiple_person_names
Pimentel - Ledezma	probable_performer	single_name_pattern
Orquesta De Memo Salamanca	probable_group	ensemble_keyword
Cirila Y Celedonio	review_required	multiple_person_names
Martin Y Martita	review_required	multiple_person_names
Orquesta De Abel Domínguez	probable_group	ensemble_keyword
Dueto Adan Y Eva	review_required	multiple_person_names
Orquesta Hermanos Marquez	probable_group	ensemble_keyword
Emilio Tuero - Hnas. Aguila	probable_performer	single_name_pattern
Orquesta Tropical Maravilla	probable_group	ensemble_keyword
Orquesta De Noe Fajardo	probable_group	ensemble_keyword
Orquesta Tropical	probable_group	ensemble_keyword
Cuarteto Armonico - Hermanas Cora	probable_group	ensemble_keyword
Juan Arvizú - Mario Talavera	probable_performer	single_name_pattern
Dueto Blanco Y Negro	review_required	multiple_person_names
Cuco Y Lupe	review_required	multiple_person_names
Mariachi Oro Y Plata De Pepe Chávez	probable_group	ensemble_keyword
Beatriz Adriana Y Pedro Infante	review_required	multiple_person_names
Marimba Orquesta De Los Hermanos Paniagua	probable_group	ensemble_keyword
Orquesta De Miguel Angel Pazos	probable_group	ensemble_keyword
Orquesta De Antonio Escobar	probable_group	ensemble_keyword
Orquesta Marimba De Abel Dominguez	probable_group	ensemble_keyword
Marimba Orquesta De Hermanos Paniagua	probable_group	ensemble_keyword
La Panchita Y Amapola	review_required	multiple_person_names
El Charro Y La Adelita	review_required	multiple_person_names
Martin Y Catita	review_required	multiple_person_names
Orquesta De Ismael Diaz	probable_group	ensemble_keyword
Poncho Y Martha	review_required	multiple_person_names
