candidate_name	gemini_decision	gemini_notes	source	review_status
Acerina y su Danzonera	group	ensemble keyword danzonera	gemini	reviewed
Alarcon Leal Y La Tamaulipeca	duo	two performers joined by Y	gemini	reviewed
Alegres De Terán Y Marcelo Y Aurelia	multiple_performers	three performers joined by Y	gemini	reviewed
Angelina Y Tono	duo	two personal names joined by Y	gemini	reviewed
Beatriz Adriana Y Pedro Infante	duo	two personal names joined by Y	gemini	reviewed
Beatriz Eugenia y Luis Lozano	duo	two personal names joined by y	gemini	reviewed
Bertha Y Juan	duo	two personal names joined by Y	gemini	reviewed
Carlos Y Gela	duo	two personal names joined by Y	gemini	reviewed
Cirila Y Celedonio	duo	two personal names joined by Y	gemini	reviewed
Cuates Castilla Y Ana Morena	multiple_performers	Cuates plus Ana Morena	gemini	reviewed
Cuco Y Lupe	duo	two names joined by Y	gemini	reviewed
Duarte y sus Corsarios	group	lead plus ensemble structure	gemini	reviewed
Dueto Adan Y Eva	duo	keyword Dueto	gemini	reviewed
Dueto Aguila Y Sol	duo	keyword Dueto	gemini	reviewed
Dueto Blanco Y Negro	duo	keyword Dueto	gemini	reviewed
Dueto Carlos Y Alicia	duo	keyword Dueto	gemini	reviewed
Dueto Sanchez Y Galvez	duo	keyword Dueto	gemini	reviewed
Dueto Timbre Y Sobre	duo	keyword Dueto	gemini	reviewed
El Charro Y La Adelita	duo	two stage names	gemini	reviewed
Erendira Y Rene	duo	two personal names	gemini	reviewed
Hermanas Cora Y Hermanos Zaizar	multiple_performers	two sibling groups	gemini	reviewed
La Panchita Y Amapola	duo	two names	gemini	reviewed
La Prieta Linda y Hermanos Zaizar	multiple_performers	individual plus group	gemini	reviewed
Laurita y Ray	duo	two names	gemini	reviewed
Lola Beltran Y Hnos. Michel	multiple_performers	individual plus sibling group	gemini	reviewed
Lola Beltran y Los Tres Cotorros	multiple_performers	individual plus ensemble	gemini	reviewed
Lola Beltran Y Prieta Linda	duo	two performers	gemini	reviewed
Luis Aguilar - Emilio Galvez y Roberto G. Rivera	multiple_performers	three performers	gemini	reviewed
Lupe y Bella	duo	two names	gemini	reviewed
Manuel Nuñez Y Goty	duo	two names	gemini	reviewed
Martha Y Felipe	duo	two names	gemini	reviewed
Martin Y Catita	duo	two names	gemini	reviewed
Martin Y Eloisa	duo	two names	gemini	reviewed
Martin Y Malena	duo	two names	gemini	reviewed
Martin Y Martita	duo	two names	gemini	reviewed
Pedro Patricio Y Panfilo Patricio	duo	two full names	gemini	reviewed
Pepe Y Lulu	duo	two names	gemini	reviewed
Pimentel Y Ledezma	duo	two surnames	gemini	reviewed
Poncho Y Martha	duo	two names	gemini	reviewed
Rodolfo y Beatriz	duo	two names	gemini	reviewed
Tere Y Maricela	duo	two names	gemini	reviewed
Victor Cordero Y Martita	duo	two names	gemini	reviewed
