normalized_title	count	classification	recording_ids	titles	song_ids	group_ids	performer_ids	source_ids
cancion mixteca	10	likely_legitimate_same_title_different_artist	REC000624|REC000625|REC000626|REC000627|REC000628|REC000629|REC000630|REC000631|REC000632|REC000633	Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca|Cancion Mixteca	SONG000481|SONG000481|SONG000481|SONG000481|SONG000481|SONG000481|SONG000481|SONG000481|SONG000481|SONG000481	||GRP0036|GRP0155||GRP0184||||	|PER000164|||PER000149||PER000052|PER000149|PER000149|PER000053	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
por un amor	10	likely_legitimate_same_title_different_artist	REC004165|REC004166|REC004167|REC004168|REC004169|REC004170|REC004171|REC004172|REC004173|REC004174	Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor|Por Un Amor	SONG003128|SONG003128|SONG003128|SONG003128|SONG003128|SONG003128|SONG003128|SONG003128|SONG003128|SONG003128	|||||GRP0155||||	PER000141|PER000149|PER000141|PER000052|PER000225||PER000149|PER000149|PER000052|PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
tres dias	9	likely_legitimate_same_title_different_artist	REC005051|REC005052|REC005053|REC005054|REC005055|REC005056|REC005057|REC005058|REC005059	Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días|Tres Días	SONG003805|SONG003805|SONG003805|SONG003805|SONG003805|SONG003805|SONG003805|SONG003805|SONG003805	||||||||	PER000225|PER000225||PER000149|PER000225|PER000149|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la cama de piedra	8	likely_legitimate_same_title_different_artist	REC002472|REC002473|REC002474|REC002475|REC002476|REC002477|REC002478|REC002479	La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra|La Cama De Piedra	SONG001844|SONG001844|SONG001844|SONG001844|SONG001844|SONG001844|SONG001844|SONG001844	|||||||	PER000149|PER000149|PER000225|PER000225|PER000149|PER000149|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
las mananitas	8	likely_legitimate_same_title_different_artist	REC002939|REC002940|REC002941|REC002942|REC002943|REC002944|REC002945|REC002946	Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas|Las Mañanitas	SONG002170|SONG002170|SONG002170|SONG002170|SONG002170|SONG002170|SONG002170|SONG002170	GRP0050|||GRP0054||||	|PER000225|PER000225||PER000149||PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
cien anos	7	possible_true_duplicate_same_entity	REC000771|REC000772|REC000773|REC000774|REC000775|REC000776|REC000777	Cien Años|Cien Años|Cien Años|Cien Años|Cien Años|Cien Años|Cien Años	SONG000583|SONG000583|SONG000583|SONG000583|SONG000583|SONG000583|SONG000583	||||||	PER000225|PER000225|PER000225|PER000225|PER000225|PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
cuando el destino	7	likely_legitimate_same_title_different_artist	REC001002|REC001003|REC001004|REC001005|REC001006|REC001007|REC001008	Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino|Cuando El Destino	SONG000770|SONG000770|SONG000770|SONG000770|SONG000770|SONG000770|SONG000770	||||||	PER000149|PER000225|PER000225|PER000149|PER000225|PER000149|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
la bamba	7	likely_legitimate_same_title_different_artist	REC002435|REC002436|REC002437|REC002438|REC002439|REC002440|REC002441	La Bamba|La Bamba|La Bamba|La Bamba|La Bamba|La Bamba|La Bamba	SONG001825|SONG001825|SONG001825|SONG001825|SONG001825|SONG001825|SONG001825	|||GRP0030|GRP0030|GRP0033|GRP0033	PER000102||||||	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
luna de octubre	7	likely_legitimate_same_title_different_artist	REC003142|REC003143|REC003144|REC003145|REC003146|REC003147|REC003148	Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre|Luna De Octubre	SONG002314|SONG002314|SONG002314|SONG002314|SONG002314|SONG002314|SONG002314	GRP0184||||GRP0184||	|PER000225|PER000225|PER000225||PER000225|PER000225	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
no volvere	7	likely_legitimate_same_title_different_artist	REC003749|REC003750|REC003751|REC003752|REC003753|REC003754|REC003755	No Volvere|No Volvere|No Volvere|No Volvere|No Volvere|No Volvere|No Volvere	SONG002805|SONG002805|SONG002805|SONG002805|SONG002805|SONG002805|SONG002805	||GRP0068|||GRP0184|	PER000262|PER000164||PER000149|PER000149||PER000149	SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001|SRC0001
