candidate_performer_name	candidate_type	source_id	confidence	review_status
A. De Montenegro	individual_candidate	SRC0001	high	raw_extracted
Abel Domínguez	individual_candidate	SRC0001	high	raw_extracted
Acerina y su Danzonera	needs_entity_review	SRC0001	medium	needs_review
Adelita	individual_candidate	SRC0001	high	raw_extracted
Adrian Gallardo	individual_candidate	SRC0001	high	raw_extracted
Agueda Curiel	individual_candidate	SRC0001	high	raw_extracted
Agustín Lara	individual_candidate	SRC0001	high	raw_extracted
Alarcon Leal Y La Tamaulipeca	needs_entity_review	SRC0001	medium	needs_review
Alberto Dominguez	individual_candidate	SRC0001	high	raw_extracted
Alberto Suarez	individual_candidate	SRC0001	high	raw_extracted
Alegres De Terán Y Marcelo Y Aurelia	needs_entity_review	SRC0001	medium	needs_review
Alejandro De Montenegro	individual_candidate	SRC0001	high	raw_extracted
Alejandro Martinez	individual_candidate	SRC0001	high	raw_extracted
Alejandro Montenegro	individual_candidate	SRC0001	high	raw_extracted
Alex Sosa	individual_candidate	SRC0001	high	raw_extracted
Alfonso Bruschetta	individual_candidate	SRC0001	high	raw_extracted
Alfonso Ortiz Tirado	individual_candidate	SRC0001	high	raw_extracted
Alicia Maria	individual_candidate	SRC0001	high	raw_extracted
Amalia Macias	individual_candidate	SRC0001	high	raw_extracted
Amparo Montes	individual_candidate	SRC0001	high	raw_extracted
Ana María	individual_candidate	SRC0001	high	raw_extracted
Andrés Huesca	individual_candidate	SRC0001	high	raw_extracted
Angel Infante	individual_candidate	SRC0001	high	raw_extracted
Angel Montañez	individual_candidate	SRC0001	high	raw_extracted
Angelina Y Tono	needs_entity_review	SRC0001	medium	needs_review
Anselmo Alvarado	individual_candidate	SRC0001	high	raw_extracted
Antar Daly	individual_candidate	SRC0001	high	raw_extracted
Antinoco Garibay	individual_candidate	SRC0001	high	raw_extracted
Antonio Badu	individual_candidate	SRC0001	high	raw_extracted
Antonio Tanguma	individual_candidate	SRC0001	high	raw_extracted
Armando Blancarte	individual_candidate	SRC0001	high	raw_extracted
Beatriz Adriana	individual_candidate	SRC0001	high	raw_extracted
Beatriz Adriana Y Pedro Infante	needs_entity_review	SRC0001	medium	needs_review
Beatriz Eugenia	individual_candidate	SRC0001	high	raw_extracted
Beatriz Eugenia y Luis Lozano	needs_entity_review	SRC0001	medium	needs_review
Bertha Y Juan	needs_entity_review	SRC0001	medium	needs_review
Blas Salazar	individual_candidate	SRC0001	high	raw_extracted
Bob & Tony	needs_entity_review	SRC0001	medium	needs_review
Bulmaro Paleo	individual_candidate	SRC0001	high	raw_extracted
Carlos Alas Del Casino	individual_candidate	SRC0001	high	raw_extracted
Carlos Madrigal	individual_candidate	SRC0001	high	raw_extracted
Carlos Madrigal - Emilio Galvez	needs_entity_review	SRC0001	medium	needs_review
Carlos Spaventa	individual_candidate	SRC0001	high	raw_extracted
Carlos Valadez	individual_candidate	SRC0001	high	raw_extracted
Carlos Y Gela	needs_entity_review	SRC0001	medium	needs_review
Carmela	individual_candidate	SRC0001	high	raw_extracted
Carmen Cardenal	individual_candidate	SRC0001	high	raw_extracted
Carmen Del Real	individual_candidate	SRC0001	high	raw_extracted
Chabela Durán	individual_candidate	SRC0001	high	raw_extracted
Chagua González	individual_candidate	SRC0001	high	raw_extracted
Charro Gil	individual_candidate	SRC0001	high	raw_extracted
Chelo Silva	individual_candidate	SRC0001	high	raw_extracted
Chucho Monge	individual_candidate	SRC0001	high	raw_extracted
Chuy Luviano	individual_candidate	SRC0001	high	raw_extracted
Cirila Y Celedonio	needs_entity_review	SRC0001	medium	needs_review
Conchita Del Mar	individual_candidate	SRC0001	high	raw_extracted
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay	needs_entity_review	SRC0001	medium	needs_review
Conjunto De Cuerdas Y Arpa Grande De Antioco Garibay Y Leandro Corona	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Armonico	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Armonico - Hermanas Cora	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Metropolitano De Felipe Bermejo	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Orizaba	needs_entity_review	SRC0001	medium	needs_review
Cuarteto Ruffino	needs_entity_review	SRC0001	medium	needs_review
Cuates Castilla Y Ana Morena	needs_entity_review	SRC0001	medium	needs_review
Cuco Sanchez	individual_candidate	SRC0001	high	raw_extracted
Cuco Y Lupe	needs_entity_review	SRC0001	medium	needs_review
Dalia Iñiguez	individual_candidate	SRC0001	high	raw_extracted
